station_id,name,latitude,longitude,capacity,num_bikes_available,last_reported
296,Division St & Bowery,40.71413089,-73.9970468,35,29,2016-01-22
297,E 15 St & 3 Ave,40.734232,-73.986923,27,6,2016-01-22
298,3 Ave & Schermerhorn St,40.68683208,-73.9796772,35,21,2016-01-22
300,Shevchenko Pl & E 7 St,40.728145,-73.990214,55,13,2016-01-22
301,E 2 St & Avenue B,40.72217444,-73.98368779,37,2,2016-01-22
302,Avenue D & E 3 St,40.72082834,-73.97793172,23,0,2016-01-22
303,Mercer St & Spring St,40.72362738,-73.99949601,31,21,2016-01-22
304,Broadway & Battery Pl,40.70463334,-74.01361706,36,29,2016-01-22
305,E 58 St & 3 Ave,40.76095756,-73.96724467,33,20,2016-01-22
306,Cliff St & Fulton St,40.70823502,-74.00530063,37,27,2016-01-22
307,Canal St & Rutgers St,40.71427487,-73.98990025,29,2,2016-01-22
308,St James Pl & Oliver St,40.71307916,-73.99851193,27,6,2016-01-22
309,Murray St & West St,40.7149787,-74.013012,41,37,2016-01-22
310,State St & Smith St,40.68926942,-73.98912867,36,14,2016-01-22
311,Norfolk St & Broome St,40.7172274,-73.98802084,31,5,2016-01-22
312,Allen St & E Houston St,40.722055,-73.989111,31,5,2016-01-22
313,Washington Ave & Park Ave,40.69610226,-73.96751037,23,22,2016-01-22
314,Cadman Plaza West & Montague St,40.69383,-73.990539,39,19,2016-01-22
315,South St & Gouverneur Ln,40.70355377,-74.00670227,29,23,2016-01-22
316,Fulton St & William St,40.70955958,-74.00653609,43,33,2016-01-22
317,E 6 St & Avenue B,40.72453734,-73.98185424,27,10,2016-01-22
319,Fulton St & Broadway,40.711066,-74.009447,33,24,2016-01-22
320,Leonard St & Church St,40.717571,-74.005549,39,35,2016-01-22
321,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,27,18,2016-01-22
322,Clinton St & Tillary St,40.696192,-73.991218,31,8,2016-01-22
323,Lawrence St & Willoughby St,40.69236178,-73.98631746,39,36,2016-01-22
324,DeKalb Ave & Hudson Ave,40.689888,-73.981013,51,32,2016-01-22
325,E 19 St & 3 Ave,40.73624527,-73.98473765,35,1,2016-01-22
326,E 11 St & 1 Ave,40.72953837,-73.98426726,27,0,2016-01-22
327,Vesey Pl & River Terrace,40.7153379,-74.01658354,39,19,2016-01-22
328,Watts St & Greenwich St,40.72405549,-74.00965965,23,14,2016-01-22
329,Greenwich St & N Moore St,40.72043411,-74.01020609,31,11,2016-01-22
330,Reade St & Broadway,40.71450451,-74.00562789,39,18,2016-01-22
331,Pike St & Monroe St,40.71173107,-73.99193043,27,1,2016-01-22
332,Cherry St,40.71219906,-73.97948148,24,6,2016-01-22
334,W 20 St & 7 Ave,40.74238787,-73.99726235,31,17,2016-01-22
335,Washington Pl & Broadway,40.72903917,-73.99404649,27,15,2016-01-22
336,Sullivan St & Washington Sq,40.73047747,-73.99906065,36,17,2016-01-22
337,Old Slip & Front St,40.7037992,-74.00838676,37,20,2016-01-22
339,Avenue D & E 12 St,40.72580614,-73.97422494,24,1,2016-01-22
340,Madison St & Clinton St,40.71269042,-73.98776323,27,0,2016-01-22
341,Stanton St & Mangin St,40.71782143,-73.97628939,19,0,2016-01-22
342,Columbia St & Rivington St,40.71739973,-73.98016555,29,0,2016-01-22
343,Clinton Ave & Flushing Ave,40.69794,-73.96986848,23,23,2016-01-22
344,Monroe St & Bedford Ave,40.6851443,-73.95380904,23,10,2016-01-22
345,W 13 St & 6 Ave,40.73649403,-73.99704374,35,18,2016-01-22
346,Bank St & Hudson St,40.73652889,-74.00618026,27,2,2016-01-22
347,Greenwich St & W Houston St,40.728846,-74.008591,35,23,2016-01-22
348,W Broadway & Spring St,40.72490985,-74.00154702,42,30,2016-01-22
350,Clinton St & Grand St,40.71559509,-73.9870295,28,1,2016-01-22
351,Front St & Maiden Ln,40.70530954,-74.00612572,39,32,2016-01-22
352,W 56 St & 6 Ave,40.76340613,-73.97722479,36,30,2016-01-22
353,S Portland Ave & Hanson Pl,40.68539567,-73.97431458,27,14,2016-01-22
354,Emerson Pl & Myrtle Ave,40.69363137,-73.96223558,23,16,2016-01-22
355,Bayard St & Baxter St,40.71602118,-73.99974372,43,6,2016-01-22
356,Bialystoker Pl & Delancey St,40.71622644,-73.98261206,23,0,2016-01-22
357,E 11 St & Broadway,40.73261787,-73.99158043,27,4,2016-01-22
358,Christopher St & Greenwich St,40.73291553,-74.00711384,36,4,2016-01-22
359,E 47 St & Park Ave,40.75510267,-73.97498696,55,25,2016-01-22
360,William St & Pine St,40.70717936,-74.00887308,39,9,2016-01-22
361,Allen St & Hester St,40.71605866,-73.99190759,43,2,2016-01-22
362,Broadway & W 37 St,40.75172632,-73.98753523,57,2,2016-01-22
363,West Thames St,40.70834698,-74.01713445,49,3,2016-01-22
364,Lafayette Ave & Classon Ave,40.68900443,-73.96023854,27,10,2016-01-22
365,Fulton St & Grand Ave,40.68223166,-73.9614583,31,11,2016-01-22
366,Clinton Ave & Myrtle Ave,40.693261,-73.968896,33,12,2016-01-22
367,E 53 St & Lexington Ave,40.75828065,-73.97069431,34,23,2016-01-22
368,Carmine St & 6 Ave,40.73038599,-74.00214988,39,26,2016-01-22
369,Washington Pl & 6 Ave,40.73224119,-74.00026394,35,1,2016-01-22
372,Franklin Ave & Myrtle Ave,40.694528,-73.958089,27,13,2016-01-22
373,Willoughby Ave & Walworth St,40.69331716,-73.95381995,19,16,2016-01-22
375,Mercer St & Bleecker St,40.72679454,-73.99695094,30,13,2016-01-22
376,John St & William St,40.70862144,-74.00722156,43,33,2016-01-22
377,6 Ave & Canal St,40.72243797,-74.00566443,47,42,2016-01-22
379,W 31 St & 7 Ave,40.749156,-73.9916,42,42,2016-01-22
380,W 4 St & 7 Ave S,40.73401143,-74.00293877,39,33,2016-01-22
382,University Pl & E 14 St,40.73492695,-73.99200509,36,36,2016-01-22
383,Greenwich Ave & Charles St,40.735238,-74.000271,39,21,2016-01-22
384,Fulton St & Washington Ave,40.683048,-73.964915,31,11,2016-01-22
385,E 55 St & 2 Ave,40.75797322,-73.96603308,29,5,2016-01-22
386,Centre St & Worth St,40.71494807,-74.00234482,43,36,2016-01-22
387,Centre St & Chambers St,40.71273266,-74.0046073,39,11,2016-01-22
388,W 26 St & 10 Ave,40.749717753,-74.002950346,35,12,2016-01-22
389,Broadway & Berry St,40.71044554,-73.96525063,27,1,2016-01-22
390,Duffield St & Willoughby St,40.69221589,-73.9842844,31,25,2016-01-22
391,Clark St & Henry St,40.69760127,-73.99344559,31,18,2016-01-22
392,Jay St & Tech Pl,40.695065,-73.987167,32,15,2016-01-22
393,E 5 St & Avenue C,40.72299208,-73.97995466,31,3,2016-01-22
394,E 9 St & Avenue C,40.72521311,-73.97768752,32,8,2016-01-22
395,Bond St & Schermerhorn St,40.68807003,-73.98410637,30,21,2016-01-22
396,Lefferts Pl & Franklin Ave,40.680342423,-73.9557689392,25,3,2016-01-22
397,Fulton St & Clermont Ave,40.68415748,-73.96922273,27,0,2016-01-22
398,Atlantic Ave & Furman St,40.69165183,-73.9999786,31,13,2016-01-22
399,Lafayette Ave & St James Pl,40.68851534,-73.9647628,27,13,2016-01-22
400,Pitt St & Stanton St,40.71926081,-73.98178024,15,5,2016-01-22
401,Allen St & Rivington St,40.72019576,-73.98997825,43,4,2016-01-22
402,Broadway & E 22 St,40.7403432,-73.98955109,42,28,2016-01-22
403,E 2 St & 2 Ave,40.72502876,-73.99069656,31,14,2016-01-22
405,Washington St & Gansevoort St,40.739323,-74.008119,40,18,2016-01-22
406,Hicks St & Montague St,40.69512845,-73.99595065,34,22,2016-01-22
407,Henry St & Poplar St,40.700469,-73.991454,37,5,2016-01-22
408,Market St & Cherry St,40.71076228,-73.99400398,23,3,2016-01-22
409,DeKalb Ave & Skillman St,40.6906495,-73.95643107,19,2,2016-01-22
410,Suffolk St & Stanton St,40.72066442,-73.98517977,35,3,2016-01-22
411,E 6 St & Avenue D,40.72228087,-73.97668709,23,4,2016-01-22
412,Forsyth St & Canal St,40.7158155,-73.99422366,29,4,2016-01-22
414,Pearl St & Anchorage Pl,40.70281858,-73.98765762,24,13,2016-01-22
415,Pearl St & Hanover Square,40.7047177,-74.00926027,42,24,2016-01-22
416,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,31,3,2016-01-22
417,Barclay St & Church St,40.71291224,-74.01020234,23,18,2016-01-22
418,Front St & Gold St,40.70224,-73.982578,23,13,2016-01-22
419,Carlton Ave & Park Ave,40.69580705,-73.97355569,23,1,2016-01-22
420,Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,23,0,2016-01-22
421,Clermont Ave & Park Ave,40.69573398,-73.97129668,19,10,2016-01-22
422,W 59 St & 10 Ave,40.770513,-73.988038,55,6,2016-01-22
423,W 54 St & 9 Ave,40.76584941,-73.98690506,3,0,2015-12-14
426,West St & Chambers St,40.71754834,-74.01322069,31,20,2016-01-22
427,Bus Slip & State St,40.701907,-74.013942,47,32,2016-01-22
428,E 3 St & 1 Ave,40.72467721,-73.98783413,31,13,2016-01-22
430,York St & Jay St,40.7014851,-73.98656928,27,25,2016-01-22
432,E 7 St & Avenue A,40.72621788,-73.98379855,31,1,2016-01-22
433,E 13 St & Avenue A,40.72955361,-73.98057249,39,0,2016-01-22
434,9 Ave & W 18 St,40.74317449,-74.00366443,27,6,2016-01-22
435,W 21 St & 6 Ave,40.74173969,-73.99415556,47,37,2016-01-22
436,Hancock St & Bedford Ave,40.68216564,-73.95399026,27,8,2016-01-22
437,Macon St & Nostrand Ave,40.6809833854,-73.9500479759,24,8,2016-01-22
438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,27,2,2016-01-22
439,E 4 St & 2 Ave,40.7262807,-73.98978041,39,8,2016-01-22
440,E 45 St & 3 Ave,40.75255434,-73.97282625,32,6,2016-01-22
441,E 52 St & 2 Ave,40.756014,-73.967416,35,6,2016-01-22
442,W 27 St & 7 Ave,40.746647,-73.993915,51,27,2016-01-22
443,Bedford Ave & S 9 St,40.70853074,-73.96408963,23,2,2016-01-22
444,Broadway & W 24 St,40.7423543,-73.98915076,52,47,2016-01-22
445,E 10 St & Avenue A,40.72740794,-73.98142006,42,21,2016-01-22
446,W 24 St & 7 Ave,40.74487634,-73.99529885,39,17,2016-01-22
447,8 Ave & W 52 St,40.76370739,-73.9851615,31,11,2016-01-22
448,W 37 St & 10 Ave,40.75660359,-73.9979009,31,3,2016-01-22
449,W 52 St & 9 Ave,40.76461837,-73.98789473,31,2,2016-01-22
450,W 49 St & 8 Ave,40.76227205,-73.98788205,59,6,2016-01-22
453,W 22 St & 8 Ave,40.74475148,-73.99915362,39,13,2016-01-22
454,E 51 St & 1 Ave,40.75455731,-73.96592976,35,2,2016-01-22
455,1 Ave & E 44 St,40.75001986,-73.96905301,39,39,2016-01-22
456,E 53 St & Madison Ave,40.7597108,-73.97402311,35,15,2016-01-22
457,Broadway & W 58 St,40.76695317,-73.98169333,39,23,2016-01-22
458,11 Ave & W 27 St,40.751396,-74.005226,31,23,2016-01-22
459,W 20 St & 11 Ave,40.746745,-74.007756,49,27,2016-01-22
460,S 4 St & Wythe Ave,40.71285887,-73.96590294,23,18,2016-01-22
461,E 20 St & 2 Ave,40.73587678,-73.98205027,39,2,2016-01-22
462,W 22 St & 10 Ave,40.74691959,-74.00451887,47,13,2016-01-22
463,9 Ave & W 16 St,40.74206539,-74.00443172,25,17,2016-01-22
465,Broadway & W 41 St,40.75513557,-73.98658032,39,3,2016-01-22
466,W 25 St & 6 Ave,40.74395411,-73.99144871,35,14,2016-01-22
467,Dean St & 4 Ave,40.68312489,-73.97895137,34,23,2016-01-22
468,Broadway & W 55 St,40.7652654,-73.98192338,59,2,2016-01-22
469,Broadway & W 53 St,40.76344058,-73.98268129,57,1,2016-01-22
470,W 20 St & 8 Ave,40.74345335,-74.00004031,37,8,2016-01-22
471,Grand St & Havemeyer St,40.71286844,-73.95698119,31,24,2016-01-22
472,E 32 St & Park Ave,40.7457121,-73.98194829,41,1,2016-01-22
473,Rivington St & Chrystie St,40.72110063,-73.9919254,38,5,2016-01-22
474,5 Ave & E 29 St,40.7451677,-73.98683077,47,23,2016-01-22
475,E 16 St & Irving Pl,40.73524276,-73.98758561,37,16,2016-01-22
476,E 31 St & 3 Ave,40.74394314,-73.97966069,47,1,2016-01-22
477,W 41 St & 8 Ave,40.75640548,-73.9900262,59,45,2016-01-22
478,11 Ave & W 41 St,40.76030096,-73.99884222,31,3,2016-01-22
479,9 Ave & W 45 St,40.76019252,-73.9912551,31,13,2016-01-22
480,W 53 St & 10 Ave,40.76669671,-73.99061728,27,1,2016-01-22
481,S 3 St & Bedford Ave,40.71260486,-73.96264403,25,11,2016-01-22
482,W 15 St & 7 Ave,40.73935542,-73.99931783,39,3,2016-01-22
483,E 12 St & 3 Ave,40.73223272,-73.98889957,35,4,2016-01-22
484,W 44 St & 5 Ave,40.75500254,-73.98014437,44,12,2016-01-22
485,W 37 St & 5 Ave,40.75038009,-73.98338988,39,4,2016-01-22
486,Broadway & W 29 St,40.7462009,-73.98855723,39,6,2016-01-22
487,E 20 St & FDR Drive,40.73314259,-73.97573881,36,8,2016-01-22
488,W 39 St & 9 Ave,40.75645824,-73.99372222,41,16,2016-01-22
489,10 Ave & W 28 St,40.75066386,-74.00176802,37,3,2016-01-22
490,8 Ave & W 33 St,40.751551,-73.993934,59,40,2016-01-22
491,E 24 St & Park Ave S,40.74096374,-73.98602213,53,21,2016-01-22
492,W 33 St & 7 Ave,40.75019995,-73.99093085,49,49,2016-01-22
493,W 45 St & 6 Ave,40.7568001,-73.98291153,34,22,2016-01-22
494,W 26 St & 8 Ave,40.74734825,-73.99723551,35,12,2016-01-22
495,W 47 St & 10 Ave,40.76269882,-73.99301222,25,2,2016-01-22
496,E 16 St & 5 Ave,40.73726186,-73.99238967,47,23,2016-01-22
497,E 17 St & Broadway,40.73704984,-73.99009296,59,0,2016-01-22
498,Broadway & W 32 St,40.74854862,-73.98808416,30,0,2016-01-22
499,Broadway & W 60 St,40.76915505,-73.98191841,36,12,2016-01-22
500,Broadway & W 51 St,40.76228826,-73.98336183,52,0,2016-01-22
501,FDR Drive & E 35 St,40.744219,-73.97121214,43,26,2016-01-22
502,Henry St & Grand St,40.714215,-73.981346,30,1,2016-01-22
